,Home,Away,HomeOdds,DrawOdds,AwayOdds,Round
159,Shonan,Yamag,2.56,3.03,2.83,7
160,C-Osaka,Sappor,2.08,3.54,3.23,7
161,Yokohama_M.,Nagoy,2.44,3.70,2.52,7
162,FC_Tokyo,Shimiz,1.69,3.77,4.62,6
163,Hiroshima,G-Osak,2.19,3.27,3.21,6
164,Sapporo,Oit,2.16,3.43,3.15,6
165,Shonan,Iwat,2.40,3.13,2.97,6
166,Vegalta_Sendai,Sagan_Tos,2.34,3.08,3.11,6
167,Yamaga,Kob,3.09,3.23,2.27,6
168,Kashima,Nagoy,2.19,3.46,3.06,6
169,Kawasaki_Frontale,C-Osak,1.68,3.62,4.95,6
170,Urawa,Yokohama_M,2.40,3.38,2.76,6
171,Shimizu,Shona,2.16,3.39,3.16,5
172,Yamaga,Kawasaki_Frontal,4.17,3.22,1.91,5
173,G-Osaka,Kob,3.01,3.45,2.21,5
174,Iwata,Kashim,3.35,3.38,2.09,5
175,Nagoya,Sappor,2.18,3.62,2.97,5
176,Oita,Hiroshim,2.55,3.13,2.76,5
177,Urawa,FC_Toky,2.78,3.17,2.51,5
178,Vegalta_Sendai,C-Osak,2.91,3.30,2.35,5
179,Yokohama_M.,Sagan_Tos,1.60,4.03,4.95,5
180,C-Osaka,Uraw,2.68,3.10,2.62,4
181,FC_Tokyo,Nagoy,2.09,3.43,3.29,4
182,Hiroshima,Yamag,2.36,2.90,3.25,4
183,Kawasaki_Frontale,G-Osak,1.57,4.16,5.10,4
184,Kobe,Shimiz,1.68,3.76,4.67,4
185,Oita,Yokohama_M,2.67,3.48,2.42,4
186,Sagan_Tosu,Iwat,2.53,2.97,2.90,4
187,Sapporo,Kashim,2.66,3.39,2.47,4
188,Shonan,Vegalta_Senda,2.53,3.25,2.68,4
189,FC_Tokyo,Sagan_Tos,1.57,3.73,5.89,3
190,Vegalta_Sendai,Kob,3.65,3.42,1.97,3
191,Yokohama_M.,Kawasaki_Frontal,3.29,3.52,2.06,3
192,C-Osaka,Hiroshim,2.49,3.16,2.80,3
193,G-Osaka,Nagoy,2.58,3.61,2.45,3
194,Iwata,Oit,2.53,3.22,2.72,3
195,Kashima,Shona,1.84,3.51,4.05,3
196,Sapporo,Shimiz,2.11,3.51,3.16,3
197,Yamaga,Uraw,2.82,3.08,2.53,3
198,Kobe,Sagan_Tos,1.74,3.50,4.63,2
199,Nagoya,C-Osak,2.51,3.37,2.63,2
200,Oita,Yamag,2.22,3.17,3.24,2
201,Shimizu,G-Osak,2.16,3.47,3.11,2
202,Shonan,FC_Toky,3.97,3.20,1.96,2
203,Urawa,Sappor,1.83,3.50,4.12,2
204,Yokohama_M.,Vegalta_Senda,1.77,3.88,3.97,2
205,Hiroshima,Iwat,1.97,3.33,3.75,2
206,Kawasaki_Frontale,Kashim,1.77,3.64,4.27,2
207,G-Osaka,Yokohama_M,2.68,3.44,2.43,1
208,Hiroshima,Shimiz,2.43,3.22,2.83,1
209,Iwata,Yamag,2.32,3.05,3.16,1
210,Kashima,Oit,1.73,3.51,4.75,1
211,Kawasaki_Frontale,FC_Toky,1.87,3.35,4.14,1
212,Sagan_Tosu,Nagoy,2.46,3.28,2.74,1
213,Shonan,Sappor,2.66,3.33,2.51,1
214,Vegalta_Sendai,Uraw,3.57,3.44,1.98,1
215,C-Osaka,Kob,2.77,3.31,2.42,1
